Regular step WithSlopeup,Regular step WithStrideSlopeup,Regular step WithSpeedSlopeup,Regular step WithSlopedown,Regular step WithStrideSlopedown,Regular step WithSpeedSlopdown,Regular step WithGravel,Regular step WithStrideGravel,Regular step WithSpeedGravel,Regular step WithSidewalk,Regular step WithStrideSidwalk,Regular step WithSpeedSidewalk,Regular step Walking speedslopdown,Regular step Walking speed slopeup,Regular step Walking speed gravel,Regular step Walking speed sidewalk,Acceleration WithSlopeup.1,Acceleration WithAverageZSlopeup,Acceleration WithSlopedown.1,Acceleration WithAverageZSlopedown,Acceleration WithGravel.1,Acceleration WithAverageZGravel,Acceleration WithSidewalk.1,Acceleration WithAverageZSidewalk,Regular step WithoutSlopeup,Regular step WithoutStrideSlopeup,Regular step WithoutSpeedSlopeup,Regular step WithoutSlopedown,Regular step WithoutStrideSlopedown,Regular step WithoutSpeedSlopedown,Regular step WithoutGravel,Regular step WithoutStrideGravel,Regular step WithoutSpeedGravel,Regular step WithoutSidewalk,Regular step WithoutStrideSidewalk,Regular step WithoutSpeedSidewalk,Regular step Withoutwspeed slopup,Regular step withoutspeedslopedown,Regular step withoutwalkspeedgravel,Regular step Withoutwalkspeedsidewalk,Acceleration WithoutSlopeup.1,Acceleration WithoutAverageZSlopeup,Acceleration WithoutSlopedown.1,Acceleration WithoutAverageZSlopedown,Acceleration WithoutGravel.1,Acceleration WithoutAverageZGravel,Acceleration WithoutSidewalk.1,Acceleration WithoutAverageZSidewalk
15:15.3,56.0,118.0,32:03.0,34.0,110.0,04:59.4,50.0,116.0,10:53.8,48.0,110.0,0.618181818,0.949152542,0.862068966,0.872727273,15:15.3,0.236686,32:03.0,0.235081,04:59.4,0.223368,10:53.8,0.252936,14:40:17,38.0,108.0,14:54:22,57.0,108.0,14:30:22,53.0,108.0,14:46:10,43.0,112.0,0.703703704,1.055555556,0.981481481,0.767857143,14:40:18,0.2058,05:10:50,0.202392,14:30:23,0.205993,46:10.9,0.202392
15:16.5,62.0,120.0,32:04.1,34.0,110.0,05:00.6,50.0,120.0,10:54.9,47.0,108.0,0.618181818,1.033333333,0.833333333,0.87037037,15:16.5,0.232945,32:04.1,0.234869,05:00.6,0.216306,10:54.9,0.238971,14:40:18,41.0,106.0,14:54:23,58.0,106.0,14:30:23,53.0,106.0,14:46:11,45.0,108.0,0.773584906,1.094339623,1,0.833333333,14:40:19,0.205993,05:11:36,0.213144,14:30:25,0.198735,46:12.0,0.216802
15:17.7,63.0,116.0,32:05.3,32.0,114.0,05:01.8,50.0,120.0,10:56.0,49.0,110.0,0.561403509,1.086206897,0.833333333,0.890909091,15:17.7,0.223368,32:05.3,0.227074,05:01.8,0.199667,10:56.0,0.253165,14:40:19,39.0,106.0,14:54:25,55.0,104.0,14:30:25,51.0,110.0,14:46:12,43.0,110.0,0.735849057,1.057692308,0.927272727,0.781818182,14:40:20,0.243218,05:11:48,0.209607,14:30:26,0.187266,46:13.1,0.2058
15:18.8,61.0,114.0,32:06.4,35.0,110.0,05:03.0,53.0,120.0,10:57.2,48.0,114.0,0.636363636,1.070175439,0.883333333,0.842105263,15:18.8,0.227074,32:06.4,0.235081,05:03.0,0.199667,10:57.2,0.244541,14:40:20,42.0,106.0,14:54:26,47.0,108.0,14:30:26,53.0,106.0,14:46:13,47.0,106.0,0.79245283,0.87037037,1,0.886792453,14:40:21,0.216802,05:12:14,0.216802,14:30:27,0.209524,46:14.2,0.216998
15:20.0,57.0,116.0,32:07.5,31.0,110.0,05:04.2,53.0,120.0,10:58.3,48.0,110.0,0.563636364,0.982758621,0.883333333,0.872727273,15:20.0,0.223368,32:07.5,0.234869,05:04.2,0.199667,10:58.3,0.252936,14:40:21,43.0,110.0,14:54:27,57.0,112.0,14:30:27,50.0,105.0,14:46:14,48.0,110.0,0.781818182,1.017857143,0.952380952,0.872727273,14:40:22,0.187091,05:12:14,0.195556,14:30:28,0.2058,46:15.3,0.216802
15:21.2,56.0,122.0,32:08.6,41.0,114.0,05:05.4,50.0,120.0,10:59.4,47.0,110.0,0.719298246,0.918032787,0.833333333,0.854545455,15:21.2,0.22932,32:08.6,0.227074,05:05.4,0.216306,10:59.4,0.234869,14:40:22,41.0,106.0,14:54:28,51.0,114.0,14:30:28,47.0,106.0,14:46:15,46.0,110.0,0.773584906,0.894736842,0.886792453,0.836363636,14:40:23,0.216998,05:13:42,0.220588,14:30:29,0.187266,46:16.4,0.202206
15:22.4,56.0,118.0,32:09.8,50.0,116.0,05:06.6,49.0,120.0,11:00.5,43.0,110.0,0.862068966,0.949152542,0.816666667,0.781818182,15:22.4,0.236686,32:09.8,0.24055,05:06.6,0.216306,11:00.5,0.253165,14:40:23,43.0,110.0,14:54:29,45.0,110.0,14:30:29,46.0,106.0,14:46:16,48.0,108.0,0.781818182,0.818181818,0.867924528,0.888888889,14:40:24,0.187091,05:13:30,0.238971,14:30:30,0.183824,46:17.5,0.216802
15:23.6,56.0,122.0,32:11.0,52.0,116.0,05:07.8,51.0,118.0,11:01.6,46.0,112.0,0.896551724,0.918032787,0.86440678,0.821428571,15:23.6,0.2457,32:11.0,0.240757,05:07.8,0.21978,11:01.6,0.248668,14:40:24,39.0,106.0,14:54:30,49.0,112.0,14:30:30,52.0,108.0,14:46:17,44.0,110.0,0.735849057,0.875,0.962962963,0.8,14:40:25,0.190476,05:11:53,0.216998,14:30:31,0.187266,46:18.6,0.216998
15:24.8,62.0,118.0,32:12.1,44.0,112.0,05:09.0,52.0,118.0,11:02.8,48.0,112.0,0.785714286,1.050847458,0.881355932,0.857142857,15:24.8,0.236686,32:12.1,0.230906,05:09.0,0.202874,11:02.8,0.248668,14:40:25,44.0,105.0,14:54:31,40.0,108.0,14:30:31,51.0,106.0,14:46:19,45.0,110.0,0.838095238,0.740740741,0.962264151,0.818181818,14:40:26,0.209724,05:11:51,0.209524,14:30:32,0.183824,46:19.7,0.213144
15:26.0,54.0,116.0,,,,05:10.2,55.0,124.0,11:03.9,45.0,112.0,0.673121254,0.931034483,0.887096774,0.803571429,15:26.0,0.206186,,0.229750632,05:10.2,0.209508,11:03.9,0.248889,14:40:26,43.0,104.0,14:54:32,41.0,108.0,14:30:32,47.0,108.0,14:46:20,46.0,112.0,0.826923077,0.759259259,0.87037037,0.821428571,14:40:27,0.228571,05:12:27,0.220791,14:30:33,0.187091,46:20.8,0.216802
